identifier,lat,lon,name,state,country
KFTY,33.783,-84.517,ATLANTA/FULTON  ,GA,US
KFWA,40.983,-85.183,FORT WAYNE      ,IN,US
KFYV,36.017,-94.167,FAYETTEVILLE    ,AR,US
KGAG,36.3,-99.767,GAGE            ,OK,US
KGEG,47.617,-117.533,SPOKANE/METRO   ,WA,US
KGFK,47.95,-97.183,GRAND FORKS     ,ND,US
KGGW,48.217,-106.617,GLASGOW         ,MT,US
KGJT,39.117,-108.517,GRAND JUNCTION  ,CO,US
KGLD,39.367,-101.7,GOODLAND        ,KS,US
KGLS,29.267,-94.867,GALVESTON       ,TX,US
KGPI,48.317,-114.25,KALISPELL       ,MT,US
KGRB,44.483,-88.133,ASHWAUBENON     ,WI,US
KGRI,40.967,-98.317,GRAND ISLAND    ,NE,US
KGRR,42.883,-85.517,GRAND RAPIDS    ,MI,US
KGSO,36.1,-79.95,GREENSBORO      ,NC,US
KGSP,34.9,-82.217,GREER/SPARTANSBG,SC,US
KGTF,47.467,-111.383,GREAT FALLS     ,MT,US
KGWO,33.5,-90.083,GREENWOOD       ,MS,US
KHFD,41.733,-72.65,HARTFORD/BRAINAR,CT,US
KHLN,46.6,-111.967,HELENA          ,MT,US
KHON,44.383,-98.233,HURON           ,SD,US
KHOU,29.633,-95.283,HOUSTON/HOBBY   ,TX,US
KHSE,35.233,-75.617,HATTERAS/MITCHEL,NC,US
KHSP,37.95,-79.817,HOT SPRINGS/INGA,VA,US
KHSV,34.65,-86.783,HUNTSVILLE      ,AL,US
KHTL,44.35,-84.667,HOUGHTON LAKE   ,MI,US
KHTS,38.367,-82.55,HUNTINGTON      ,WV,US
KHVN,41.267,-72.867,NEW HAVEN/TWEED ,CT,US
KHVR,48.55,-109.767,HAVRE           ,MT,US
KIAD,38.933,-77.45,WASH DC/DULLES  ,VA,US
KIAH,30,-95.367,HOUSTON/INTNL   ,TX,US
KICT,37.65,-97.433,WICHITA         ,KS,US
KILG,39.667,-75.6,WILMINGTON      ,DE,US
KILM,34.267,-77.9,WILMINGTON      ,NC,US
KIND,39.717,-86.3,INDIANAPOLIS    ,IN,US
KINK,31.783,-103.2,WINK            ,TX,US
KINL,48.567,-93.4,INTERNTNL FALLS ,MN,US
KINT,36.133,-80.217,WINSTON SALEM   ,NC,US
KINW,35.033,-110.717,WINSLOW         ,AZ,US
KIPT,41.25,-76.917,WILLIAMSPORT    ,PA,US
KISN,48.167,-103.633,WILLISTON       ,ND,US
KJAN,32.317,-90.083,JACKSON         ,MS,US
KJAX,30.5,-81.683,JACKSONVILLE    ,FL,US
KJCT,30.511,-99.766,Junction,TX,US
KLAL,27.989,-82.019,Lakeland Reg AP,FL,US
KLAN,42.783,-84.583,LANSING         ,MI,US
KLAS,36.083,-115.15,LAS VEGAS       ,NV,US
KLAX,33.933,-118.383,LOS ANGELES     ,CA,US
KLBB,33.667,-101.817,LUBBOCK         ,TX,US
KLBF,41.117,-100.667,NORTH PLATTE    ,NE,US
KLCH,30.133,-93.217,LAKE CHARLES    ,LA,US
KLEX,38.033,-84.6,LEXINGTON       ,KY,US
KLFK,31.233,-94.75,LUFKIN          ,TX,US
KLFT,30.2,-92,LAFAYETTE       ,LA,US
KLGA,40.783,-73.883,LA GUARDIA,NY,US
KLGB,33.817,-118.15,LONG BEACH      ,CA,US
KLIT,34.733,-92.233,LITTLE ROCK     ,AR,US
KLND,42.817,-108.733,LANDER          ,WY,US
KLNK,40.85,-96.767,LINCOLN         ,NE,US
KLNS,40.117,-76.3,LANCASTER       ,PA,US
KLRD,27.533,-99.467,Larado INTL AP,TX,US
KLSE,43.883,-91.25,LA CROSSE       ,WI,US
KLUK,39.1,-84.417,CINCINNAT/LUNKEN,OH,US
KLWS,46.367,-117.017,LEWISTON        ,ID,US
KLYH,37.317,-79.2,LYNCHBURG       ,VA,US
KMAF,31.95,-102.2,MIDLAND         ,TX,US
KMCI,39.3,-94.733,KANSAS CITY,MO,US
KMCN,32.683,-83.65,MACON           ,GA,US
KMCO,28.417,-81.333,ORLANDO         ,FL,US
KMDT,40.2,-76.767,MIDDLETOWN      ,PA,US
KMDW,41.783,-87.75,CHICAGO         ,IL,US
KMEI,32.333,-88.75,MERIDIAN/KEY FLD,MS,US
KMEM,35.067,-89.983,MEMPHIS         ,TN,US
